date,state,district,pincode,age_0_5,age_5_17,age_18_greater,total_enrol,month,year,anomaly
2025-03-02,Meghalaya,East Khasi Hills,793121,11,61,37,109,3,2025,-1
2025-03-09,Karnataka,Bengaluru Urban,560043,14,33,39,86,3,2025,-1
2025-03-09,Uttar Pradesh,Kanpur Nagar,208001,29,82,12,123,3,2025,-1
2025-03-09,Uttar Pradesh,Aligarh,202133,62,29,15,106,3,2025,-1
2025-03-09,Karnataka,Bengaluru Urban,560016,14,16,21,51,3,2025,-1
2025-03-09,Bihar,Sitamarhi,843331,20,49,12,81,3,2025,-1
2025-03-09,Bihar,Sitamarhi,843330,23,24,42,89,3,2025,-1
2025-03-09,Uttar Pradesh,Bahraich,271865,26,60,14,100,3,2025,-1
2025-03-09,Uttar Pradesh,Firozabad,283204,28,26,10,64,3,2025,-1
2025-03-09,Bihar,Purbi Champaran,845418,30,48,10,88,3,2025,-1
2025-03-09,Uttar Pradesh,Maharajganj,273164,31,70,13,114,3,2025,-1
2025-03-09,Bihar,Sitamarhi,843317,35,94,16,145,3,2025,-1
2025-03-09,Maharashtra,Aurangabad,431001,42,46,12,100,3,2025,-1
2025-03-09,Bihar,Sitamarhi,843324,49,186,34,269,3,2025,-1
2025-03-09,Uttar Pradesh,Ghaziabad,201102,50,113,11,174,3,2025,-1
2025-03-09,Haryana,Faridabad,121004,80,60,10,150,3,2025,-1
2025-03-09,Karnataka,Bengaluru Urban,560068,14,17,35,66,3,2025,-1
2025-03-09,Bihar,Madhubani,847108,18,120,22,160,3,2025,-1
2025-03-09,Karnataka,Bengaluru Urban,560032,21,14,10,45,3,2025,-1
2025-03-09,Rajasthan,Sikar,332001,41,36,17,94,3,2025,-1
2025-03-09,Bihar,Bhagalpur,812005,13,40,18,71,3,2025,-1
2025-03-09,Punjab,Amritsar,143001,14,15,20,49,3,2025,-1
2025-03-09,Haryana,Gurugram,122001,18,19,13,50,3,2025,-1
2025-03-09,Uttar Pradesh,Gautam Buddha Nagar,201301,25,249,16,290,3,2025,-1
2025-03-09,Delhi,West Delhi,110018,29,11,15,55,3,2025,-1
2025-03-09,Madhya Pradesh,Bhind,477116,37,18,11,66,3,2025,-1
2025-03-09,Madhya Pradesh,Gwalior,475110,42,14,14,70,3,2025,-1
2025-03-09,Madhya Pradesh,Katni,483501,53,42,11,106,3,2025,-1
2025-03-09,Delhi,West Delhi,110059,93,42,42,177,3,2025,-1
2025-03-09,Bihar,Purbi Champaran,845304,18,72,12,102,3,2025,-1
2025-03-09,West Bengal,Coochbehar,736135,19,12,19,50,3,2025,-1
2025-03-09,Uttar Pradesh,Lucknow,226003,23,102,17,142,3,2025,-1
2025-03-09,West Bengal,Dinajpur Uttar,733129,26,18,27,71,3,2025,-1
2025-03-15,Assam,Marigaon,782104,10,11,46,67,3,2025,-1
2025-03-15,Assam,Kokrajhar,783350,10,16,18,44,3,2025,-1
2025-03-15,Uttar Pradesh,Agra,282005,10,66,17,93,3,2025,-1
2025-03-15,Uttarakhand,Haridwar,247667,17,15,28,60,3,2025,-1
2025-03-15,Uttar Pradesh,Ghaziabad,201001,33,125,16,174,3,2025,-1
2025-03-15,Uttar Pradesh,Ghaziabad,201206,14,30,13,57,3,2025,-1
2025-03-15,Assam,Nagaon,782124,19,15,22,56,3,2025,-1
2025-03-15,Delhi,West Delhi,110059,24,34,18,76,3,2025,-1
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201301,43,132,24,199,3,2025,-1
2025-03-15,Uttar Pradesh,Maharajganj,273164,12,55,12,79,3,2025,-1
2025-03-15,Maharashtra,Parbhani,431401,17,14,37,68,3,2025,-1
2025-03-15,Uttar Pradesh,Ghaziabad,201102,19,146,30,195,3,2025,-1
2025-03-15,Assam,Marigaon,782105,26,16,140,182,3,2025,-1
2025-03-15,Meghalaya,West Khasi Hills,793119,34,10,148,192,3,2025,-1
2025-03-15,Bihar,Purbi Champaran,845303,12,121,13,146,3,2025,-1
2025-03-15,Assam,Marigaon,782127,12,16,20,48,3,2025,-1
2025-03-15,Uttar Pradesh,Gautam Buddha Nagar,201009,20,37,18,75,3,2025,-1
2025-03-15,Bihar,Sitamarhi,843324,22,89,44,155,3,2025,-1
2025-03-15,Assam,Kokrajhar,783360,25,23,10,58,3,2025,-1
2025-03-15,Delhi,North West Delhi,110086,35,15,10,60,3,2025,-1
2025-03-15,Uttar Pradesh,Agra,282001,38,123,21,182,3,2025,-1
2025-03-15,Meghalaya,West Jaintia Hills,793150,92,17,30,139,3,2025,-1
2025-03-15,Uttar Pradesh,Agra,282010,10,49,19,78,3,2025,-1
2025-03-15,Uttar Pradesh,Ghaziabad,201002,13,57,19,89,3,2025,-1
2025-03-15,Bihar,Madhubani,847421,15,54,15,84,3,2025,-1
2025-03-15,Uttar Pradesh,Unnao,209801,17,95,18,130,3,2025,-1
2025-03-15,Bihar,Sitamarhi,843331,20,28,15,63,3,2025,-1
2025-03-15,Uttar Pradesh,Saharanpur,247001,91,152,10,253,3,2025,-1
2025-03-20,Assam,Dibrugarh,786602,10,12,14,36,3,2025,-1
2025-03-20,Assam,Udalguri,784509,10,46,34,90,3,2025,-1
2025-03-20,Assam,Chirang,783390,12,29,15,56,3,2025,-1
2025-03-20,Assam,Kamrup,781354,13,20,13,46,3,2025,-1
2025-03-20,Assam,Dhubri,783331,15,51,12,78,3,2025,-1
2025-03-20,Uttar Pradesh,Jaunpur,222001,19,103,29,151,3,2025,-1
2025-03-20,Maharashtra,Thane,421503,19,13,15,47,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560037,20,16,17,53,3,2025,-1
2025-03-20,Assam,Dhemaji,787057,20,46,19,85,3,2025,-1
2025-03-20,Uttar Pradesh,Agra,283125,25,29,12,66,3,2025,-1
2025-03-20,Assam,Kokrajhar,783360,32,75,29,136,3,2025,-1
2025-03-20,Gujarat,Banas Kantha,385545,37,11,15,63,3,2025,-1
2025-03-20,Bihar,Sitamarhi,843324,41,55,30,126,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560068,56,20,16,92,3,2025,-1
2025-03-20,Uttar Pradesh,Firozabad,283203,65,51,11,127,3,2025,-1
2025-03-20,Madhya Pradesh,Gwalior,474001,73,25,18,116,3,2025,-1
2025-03-20,Uttar Pradesh,Agra,282001,96,125,11,232,3,2025,-1
2025-03-20,Maharashtra,Aurangabad,431001,134,38,18,190,3,2025,-1
2025-03-20,Assam,Dhubri,783348,11,115,37,163,3,2025,-1
2025-03-20,Assam,Tinsukia,786156,12,32,21,65,3,2025,-1
2025-03-20,Andhra Pradesh,Spsr Nellore,524311,15,19,17,51,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560035,16,10,13,39,3,2025,-1
2025-03-20,Uttar Pradesh,Unnao,209821,17,41,15,73,3,2025,-1
2025-03-20,Assam,Marigaon,782104,20,58,10,88,3,2025,-1
2025-03-20,Assam,Barpeta,783101,24,34,10,68,3,2025,-1
2025-03-20,Assam,Kokrajhar,783350,24,55,23,102,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560036,28,12,13,53,3,2025,-1
2025-03-20,Assam,Dhubri,783334,31,37,25,93,3,2025,-1
2025-03-20,Gujarat,Banas Kantha,385310,78,32,13,123,3,2025,-1
2025-03-20,Bihar,Sitamarhi,843330,10,12,19,41,3,2025,-1
2025-03-20,Assam,Sonitpur,784110,10,28,43,81,3,2025,-1
2025-03-20,Assam,Baksa,781366,11,14,13,38,3,2025,-1
2025-03-20,Assam,Tinsukia,786152,18,25,11,54,3,2025,-1
2025-03-20,Assam,Tinsukia,786151,19,24,19,62,3,2025,-1
2025-03-20,Uttar Pradesh,Bahraich,271855,20,62,13,95,3,2025,-1
2025-03-20,Gujarat,Banas Kantha,385330,47,11,25,83,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560043,49,16,28,93,3,2025,-1
2025-03-20,Punjab,Ludhiana,141007,104,13,14,131,3,2025,-1
2025-03-20,Gujarat,Patan,384265,118,14,11,143,3,2025,-1
2025-03-20,Assam,Tinsukia,786171,12,37,30,79,3,2025,-1
2025-03-20,Uttar Pradesh,Bahraich,271865,12,47,21,80,3,2025,-1
2025-03-20,Tamil Nadu,Kanchipuram,600069,12,12,10,34,3,2025,-1
2025-03-20,Bihar,Patna,800001,12,52,16,80,3,2025,-1
2025-03-20,Assam,Lakhimpur,787031,25,34,42,101,3,2025,-1
2025-03-20,Assam,Bongaigaon,783384,25,33,31,89,3,2025,-1
2025-03-20,Assam,Dhubri,783339,32,26,24,82,3,2025,-1
2025-03-20,Gujarat,Vadodara,390019,36,43,10,89,3,2025,-1
2025-03-20,Uttarakhand,Nainital,263139,46,18,11,75,3,2025,-1
2025-03-20,Meghalaya,West Jaintia Hills,793150,55,10,95,160,3,2025,-1
2025-03-20,Gujarat,Banas Kantha,385001,86,15,10,111,3,2025,-1
2025-03-20,Uttar Pradesh,Gautam Buddha Nagar,201301,87,218,14,319,3,2025,-1
2025-03-20,Uttar Pradesh,Aligarh,202001,104,241,16,361,3,2025,-1
2025-03-20,Uttarakhand,Dehradun,248001,123,43,10,176,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560066,19,13,11,43,3,2025,-1
2025-03-20,Meghalaya,West Khasi Hills,793119,20,19,202,241,3,2025,-1
2025-03-20,Uttar Pradesh,Agra,283111,21,16,11,48,3,2025,-1
2025-03-20,Assam,Tinsukia,786174,23,52,20,95,3,2025,-1
2025-03-20,Assam,Hojai,782446,27,42,20,89,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560100,28,13,11,52,3,2025,-1
2025-03-20,Andhra Pradesh,Spsr Nellore,524002,28,25,12,65,3,2025,-1
2025-03-20,Karnataka,Bengaluru Urban,560077,30,12,17,59,3,2025,-1
2025-03-20,Assam,Marigaon,782105,49,83,29,161,3,2025,-1
2025-03-23,Uttar Pradesh,Jaunpur,222001,29,68,11,108,3,2025,-1
2025-03-23,Meghalaya,West Khasi Hills,793119,43,46,14,103,3,2025,-1
2025-03-23,Madhya Pradesh,Gwalior,474001,10,21,16,47,3,2025,-1
