date,total_enrol
2025-03-02,109
2025-03-09,3404
2025-03-15,3102
2025-03-20,6218
2025-03-23,576
2025-03-26,211
2025-03-27,2704
2025-03-28,191
2025-03-29,67
2025-04-01,257438
2025-05-01,183616
2025-06-01,215734
2025-07-01,616868
2025-09-01,74989
2025-09-02,76496
2025-09-03,71988
2025-09-04,65349
2025-09-05,26069
2025-09-06,58957
2025-09-07,14658
2025-09-08,83353
2025-09-09,88508
2025-09-10,84300
2025-09-11,73206
2025-09-12,78860
2025-09-13,56229
2025-09-14,14990
2025-09-15,53240
2025-09-16,63846
2025-09-17,57409
2025-09-18,60598
2025-09-19,57357
2025-09-20,49377
2025-09-21,4400
2025-09-22,40321
2025-09-23,48943
2025-09-24,56573
2025-09-25,53324
2025-09-26,37653
2025-09-27,13592
2025-09-28,2454
2025-09-29,6896
2025-09-30,1944
2025-10-13,70419
2025-10-15,55224
2025-10-16,35279
2025-10-17,104609
2025-10-18,56021
2025-10-19,54703
2025-10-20,15405
2025-10-21,7442
2025-10-22,233
2025-10-23,1146
2025-10-24,36207
2025-10-25,48246
2025-10-26,28683
2025-10-27,26044
2025-10-28,33734
2025-10-29,27592
2025-10-30,111411
2025-10-31,67219
2025-11-01,17849
2025-11-02,97137
2025-11-03,30924
2025-11-04,1007
2025-11-05,75116
2025-11-06,43300
2025-11-07,41536
2025-11-08,50454
2025-11-09,47296
2025-11-10,63946
2025-11-11,41452
2025-11-12,38306
2025-11-13,32684
2025-11-14,44528
2025-11-15,108948
2025-11-16,52082
2025-11-17,30693
2025-11-18,68935
2025-11-19,108877
2025-11-25,57514
2025-12-15,138444
2025-12-21,28017
2025-12-22,105334
2025-12-23,47327
2025-12-24,46040
2025-12-25,48376
2025-12-26,51827
2025-12-27,44873
2025-12-28,43473
2025-12-29,60524
2025-12-31,119207
