ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-03-02,-263266.11694292,-24372.12222149444,33555.20469523426,-263266.11694292,-263266.11694292,267303.90550821216,267303.90550821216,267303.90550821216,-9943.521402398852,-9943.521402398852,-9943.521402398852,277247.42691061104,277247.42691061104,277247.42691061104,0.0,0.0,0.0,4037.7885652921395
2025-03-09,-243359.28375433318,-46688.073898486815,14200.500295024813,-243359.28375433318,-243359.28375433318,229354.97769502804,229354.97769502804,229354.97769502804,-9943.521402376447,-9943.521402376447,-9943.521402376447,239298.49909740448,239298.49909740448,239298.49909740448,0.0,0.0,0.0,-14004.306059305149
2025-03-15,-226296.2838784016,1345.2106612903365,59527.558471892495,-226296.2838784016,-226296.2838784016,255502.84110894412,255502.84110894412,255502.84110894412,-3319.0011487992538,-3319.0011487992538,-3319.0011487992538,258821.84225774338,258821.84225774338,258821.84225774338,0.0,0.0,0.0,29206.55723054253
2025-03-20,-212077.11731512524,-15334.856230642603,42625.87440619572,-212077.11731512524,-212077.11731512524,225203.61127603397,225203.61127603397,225203.61127603397,5209.846597708683,5209.846597708683,5209.846597708683,219993.76467832527,219993.76467832527,219993.76467832527,0.0,0.0,0.0,13126.49396090873
2025-03-23,-203545.61737684353,-62407.14040507162,-2032.4525782201827,-203545.61737684353,-203545.61737684353,172002.35979028605,172002.35979028605,172002.35979028605,-9943.521402389415,-9943.521402389415,-9943.521402389415,181945.88119267544,181945.88119267544,181945.88119267544,0.0,0.0,0.0,-31543.257586557476
2025-03-26,-195014.11743856187,-43254.2501178209,14685.36264045284,-195014.11743856187,-195014.11743856187,179077.7520479221,179077.7520479221,179077.7520479221,9003.897781731783,9003.897781731783,9003.897781731783,170073.85426619038,170073.85426619038,170073.85426619038,0.0,0.0,0.0,-15936.365390639752
2025-03-27,-192170.2841258013,-33726.10357546916,19933.834226591716,-192170.2841258013,-192170.2841258013,185207.85062515215,185207.85062515215,185207.85062515215,5209.846597714687,5209.846597714687,5209.846597714687,179998.00402743745,179998.00402743745,179998.00402743745,0.0,0.0,0.0,-6962.433500649146
2025-03-28,-189326.450812842,-12154.94979743431,46332.32528405349,-189326.450812842,-189326.450812842,206100.50077676264,206100.50077676264,206100.50077676264,5986.024263441451,5986.024263441451,5986.024263441451,200114.4765133212,200114.4765133212,200114.4765133212,0.0,0.0,0.0,16774.04996392064
2025-03-29,-186482.6174998827,12028.285006259723,71546.42402481627,-186482.6174998827,-186482.6174998827,229078.8928285785,229078.8928285785,229078.8928285785,-3319.001148828217,-3319.001148828217,-3319.001148828217,232397.8939774067,232397.8939774067,232397.8939774067,0.0,0.0,0.0,42596.2753286958
2025-04-01,-177951.11756100474,207827.59109007817,267352.9909056368,-177951.11756100474,-177951.11756100474,414634.6571985331,414634.6571985331,414634.6571985331,-5829.520929919999,-5829.520929919999,-5829.520929919999,420464.17812845315,420464.17812845315,420464.17812845315,0.0,0.0,0.0,236683.5396375284
2025-05-01,-92636.11816453224,154572.71448984765,213457.60596663327,-92636.11816453224,-92636.11816453224,276321.69716132974,276321.69716132974,276321.69716132974,5209.846597695285,5209.846597695285,5209.846597695285,271111.8505636344,271111.8505636344,271111.8505636344,0.0,0.0,0.0,183685.5789967975
2025-06-01,-4477.285454843983,185945.11610416553,244679.23540182036,-4477.285454843983,-4477.285454843983,220159.06889344752,220159.06889344752,220159.06889344752,-9943.521402397491,-9943.521402397491,-9943.521402397491,230102.590295845,230102.590295845,230102.590295845,0.0,0.0,0.0,215681.78343860354
2025-07-01,80837.71394162852,588080.4877882212,644924.7450919712,80837.71394162852,80837.71394162852,536025.1388190577,536025.1388190577,536025.1388190577,-5829.520929932316,-5829.520929932316,-5829.520929932316,541854.65974899,541854.65974899,541854.65974899,0.0,0.0,0.0,616862.8527606863
2025-09-01,257155.3793633235,52653.231430586085,113907.17535049394,257155.3793633235,257155.3793633235,-175370.9066358375,-175370.9066358375,-175370.9066358375,-1107.7251617388088,-1107.7251617388088,-1107.7251617388088,-174263.18147409873,-174263.18147409873,-174263.18147409873,0.0,0.0,0.0,81784.47272748599
2025-09-02,259999.21267657654,34157.2618207548,92146.42145454911,259999.21267657654,259999.21267657654,-196898.03269505687,-196898.03269505687,-196898.03269505687,-5829.520929926832,-5829.520929926832,-5829.520929926832,-191068.51176513004,-191068.51176513004,-191068.51176513004,0.0,0.0,0.0,63101.17998151967
2025-09-03,262843.04598958156,38853.55243598904,95678.62194611976,262843.04598958156,262843.04598958156,-193845.87226012087,-193845.87226012087,-193845.87226012087,9003.89778173328,9003.89778173328,9003.89778173328,-202849.77004185415,-202849.77004185415,-202849.77004185415,0.0,0.0,0.0,68997.17372946069
2025-09-04,265686.87930258655,30799.155703585686,91460.87177110663,265686.87930258655,265686.87930258655,-205366.29446481212,-205366.29446481212,-205366.29446481212,5209.846597696168,5209.846597696168,5209.846597696168,-210576.1410625083,-210576.1410625083,-210576.1410625083,0.0,0.0,0.0,60320.584837774426
2025-09-05,268530.7126155917,29840.26140924045,88064.7345351234,268530.7126155917,268530.7126155917,-209195.35358725837,-209195.35358725837,-209195.35358725837,5986.024263493479,5986.024263493479,5986.024263493479,-215181.37785075183,-215181.37785075183,-215181.37785075183,0.0,0.0,0.0,59335.35902833333
2025-09-06,271374.5459285602,21533.716634849665,78689.26861568393,271374.5459285602,271374.5459285602,-220856.97868631213,-220856.97868631213,-220856.97868631213,-3319.0011488251885,-3319.0011488251885,-3319.0011488251885,-217537.97753748696,-217537.97753748696,-217537.97753748696,0.0,0.0,0.0,50517.56724224807
2025-09-07,274218.37924152875,16692.509715930068,73834.87994395073,274218.37924152875,274218.37924152875,-228379.85254630787,-228379.85254630787,-228379.85254630787,-9943.521402403125,-9943.521402403125,-9943.521402403125,-218436.3311439047,-218436.3311439047,-218436.3311439047,0.0,0.0,0.0,45838.52669522088
2025-09-08,277062.21255449724,27508.91658564359,87401.20187586971,277062.21255449724,277062.21255449724,-219676.72476190454,-219676.72476190454,-219676.72476190454,-1107.7251617500897,-1107.7251617500897,-1107.7251617500897,-218568.99960015446,-218568.99960015446,-218568.99960015446,0.0,0.0,0.0,57385.4877925927
2025-09-09,279906.04586756224,27232.200746239694,85281.06678875216,279906.04586756224,279906.04586756224,-224349.62162883615,-224349.62162883615,-224349.62162883615,-5829.5209299401795,-5829.5209299401795,-5829.5209299401795,-218520.10069889599,-218520.10069889599,-218520.10069889599,0.0,0.0,0.0,55556.42423872609
2025-09-10,282749.87918062735,43490.749226568056,102115.86467597938,282749.87918062735,282749.87918062735,-209755.7385881215,-209755.7385881215,-209755.7385881215,9003.897781735002,9003.897781735002,9003.897781735002,-218759.63636985648,-218759.63636985648,-218759.63636985648,0.0,0.0,0.0,72994.14059250586
2025-09-11,285593.7124936923,40813.227615097414,100012.37709957472,285593.7124936923,285593.7124936923,-214432.60427353383,-214432.60427353383,-214432.60427353383,5209.846597677461,5209.846597677461,5209.846597677461,-219642.45087121127,-219642.45087121127,-219642.45087121127,0.0,0.0,0.0,71161.10822015846
2025-09-12,288437.54580669355,43994.60748914837,102543.09787325792,288437.54580669355,288437.54580669355,-215425.36677855175,-215425.36677855175,-215425.36677855175,5986.024263479454,5986.024263479454,5986.024263479454,-221411.3910420312,-221411.3910420312,-221411.3910420312,0.0,0.0,0.0,73012.1790281418
2025-09-13,291281.3791196947,33412.85133831275,93473.81804889166,291281.3791196947,291281.3791196947,-227523.14336773794,-227523.14336773794,-227523.14336773794,-3319.001148788426,-3319.001148788426,-3319.001148788426,-224204.1422189495,-224204.1422189495,-224204.1422189495,0.0,0.0,0.0,63758.23575195676
2025-09-14,294125.21243269596,27107.982049153816,86737.26745526471,294125.21243269596,294125.21243269596,-238006.66086179152,-238006.66086179152,-238006.66086179152,-9943.52140240961,-9943.52140240961,-9943.52140240961,-228063.1394593819,-228063.1394593819,-228063.1394593819,0.0,0.0,0.0,56118.55157090444
2025-09-15,296969.04574568494,31642.865080380663,94318.16845486792,296969.04574568494,296969.04574568494,-234055.62905326101,-234055.62905326101,-234055.62905326101,-1107.7251617574477,-1107.7251617574477,-1107.7251617574477,-232947.90389150358,-232947.90389150358,-232947.90389150358,0.0,0.0,0.0,62913.416692423925
2025-09-16,299812.87905867386,27416.65766500747,83740.08465377367,299812.87905867386,299812.87905867386,-244578.6495747858,-244578.6495747858,-244578.6495747858,-5829.520929937407,-5829.520929937407,-5829.520929937407,-238749.12864484842,-238749.12864484842,-238749.12864484842,0.0,0.0,0.0,55234.22948388805
2025-09-17,302656.7123716627,35733.02830235559,95907.75440766886,302656.7123716627,302656.7123716627,-236299.9392157071,-236299.9392157071,-236299.9392157071,9003.897781748581,9003.897781748581,9003.897781748581,-245303.83699745568,-245303.83699745568,-245303.83699745568,0.0,0.0,0.0,66356.77315595563
2025-09-18,305500.54568434804,28254.56508163252,84319.53971400205,305500.54568434804,305500.54568434804,-247201.1090981939,-247201.1090981939,-247201.1090981939,5209.846597683466,5209.846597683466,5209.846597683466,-252410.95569587735,-252410.95569587735,-252410.95569587735,0.0,0.0,0.0,58299.43658615413
2025-09-19,308344.3789970331,26880.69119756806,83258.20170546787,308344.3789970331,308344.3789970331,-253860.6627317093,-253860.6627317093,-253860.6627317093,5986.024263498903,5986.024263498903,5986.024263498903,-259846.68699520823,-259846.68699520823,-259846.68699520823,0.0,0.0,0.0,54483.716265323805
2025-09-20,311188.21230971836,11876.866554029451,67851.82190097452,311188.21230971836,311188.21230971836,-270698.12213569466,-270698.12213569466,-270698.12213569466,-3319.001148791475,-3319.001148791475,-3319.001148791475,-267379.12098690314,-267379.12098690314,-267379.12098690314,0.0,0.0,0.0,40490.0901740237
2025-09-21,314032.0456225614,572.9874131681381,55136.7400466444,314032.0456225614,314032.0456225614,-284725.1240019164,-284725.1240019164,-284725.1240019164,-9943.521402416094,-9943.521402416094,-9943.521402416094,-274781.60259950033,-274781.60259950033,-274781.60259950033,0.0,0.0,0.0,29306.921620645036
2025-09-22,316875.8789354045,4439.986093720752,63010.53353273807,316875.8789354045,316875.8789354045,-282952.1768818911,-282952.1768818911,-282952.1768818911,-1107.7251617687298,-1107.7251617687298,-1107.7251617687298,-281844.45172012236,-281844.45172012236,-281844.45172012236,0.0,0.0,0.0,33923.70205351338
2025-09-23,319719.7122482477,-2786.217172170476,53272.15033363942,319719.7122482477,319719.7122482477,-294214.24771836284,-294214.24771836284,-294214.24771836284,-5829.520929931284,-5829.520929931284,-5829.520929931284,-288384.7267884315,-288384.7267884315,-288384.7267884315,0.0,0.0,0.0,25505.464529884863
2025-09-24,322563.5455614709,9959.465201471303,68893.42256256165,322563.5455614709,322563.5455614709,-285249.9208328959,-285249.9208328959,-285249.9208328959,9003.897781738451,9003.897781738451,9003.897781738451,-294253.81861463434,-294253.81861463434,-294253.81861463434,0.0,0.0,0.0,37313.624728575
2025-09-25,325407.378874694,-2039.7354657470362,61215.93648432259,325407.378874694,325407.378874694,-294132.9116347201,-294132.9116347201,-294132.9116347201,5209.84659768947,5209.84659768947,5209.84659768947,-299342.75823240954,-299342.75823240954,-299342.75823240954,0.0,0.0,0.0,31274.467239973892
2025-09-26,328251.2121877051,3375.4319345508566,59273.56304466631,328251.2121877051,328251.2121877051,-297599.1930510665,-297599.1930510665,-297599.1930510665,5986.024263453006,5986.024263453006,5986.024263453006,-303585.2173145195,-303585.2173145195,-303585.2173145195,0.0,0.0,0.0,30652.019136638613
2025-09-27,331095.0455007163,-9325.530205092451,50508.41756902599,331095.0455007163,331095.0455007163,-310277.2698890994,-310277.2698890994,-310277.2698890994,-3319.0011487888755,-3319.0011487888755,-3319.0011487888755,-306958.26874031057,-306958.26874031057,-306958.26874031057,0.0,0.0,0.0,20817.775611616904
2025-09-28,333938.87881372747,-16229.396216498382,45020.82333514944,333938.87881372747,333938.87881372747,-319424.5770722599,-319424.5770722599,-319424.5770722599,-9943.521402393691,-9943.521402393691,-9943.521402393691,-309481.0556698662,-309481.0556698662,-309481.0556698662,0.0,0.0,0.0,14514.301741467556
2025-09-29,336782.7121265874,-5487.281487654937,49857.69825918071,336782.7121265874,336782.7121265874,-312319.312821916,-312319.312821916,-312319.312821916,-1107.72516174423,-1107.72516174423,-1107.72516174423,-311211.5876601718,-311211.5876601718,-311211.5876601718,0.0,0.0,0.0,24463.399304671388
2025-09-30,339626.5454394472,-7200.02867255729,52503.22676211998,339626.5454394472,339626.5454394472,-318071.4609328692,-318071.4609328692,-318071.4609328692,-5829.52092992516,-5829.52092992516,-5829.52092992516,-312241.94000294403,-312241.94000294403,-312241.94000294403,0.0,0.0,0.0,21555.084506578045
2025-10-13,376596.37850662606,21300.478244181177,80755.67045756035,376596.37850662606,376596.37850662606,-324599.3610542093,-324599.3610542093,-324599.3610542093,-1107.7251617449795,-1107.7251617449795,-1107.7251617449795,-323491.6358924643,-323491.6358924643,-323491.6358924643,0.0,0.0,0.0,51997.01745241677
2025-10-15,382284.045133124,31779.44245174884,88184.48771909172,382284.045133124,382284.045133124,-322870.466013485,-322870.466013485,-322870.466013485,9003.897781742975,9003.897781742975,9003.897781742975,-331874.36379522795,-331874.36379522795,-331874.36379522795,0.0,0.0,0.0,59413.579119639006
