state,3,4,5,6,7,9,10,11,12
100000,0,0,0,0,0,12,1,11,190
Andaman & Nicobar Islands,0,0,0,0,0,43,21,20,27
Andaman and Nicobar Islands,0,0,0,0,0,145,60,88,97
Andhra Pradesh,116,0,0,1574,956,40353,24565,33779,22925
Arunachal Pradesh,0,0,0,0,484,1774,823,791,368
Assam,2492,25654,13197,9734,47873,50639,25787,29824,20159
Bihar,2352,29442,31651,46386,59274,143565,95977,98223,86883
Chandigarh,0,117,0,0,0,856,465,659,523
Chhattisgarh,260,1745,1406,1263,7587,28805,16422,24069,18216
Dadra & Nagar Haveli,0,0,0,0,0,11,4,8,2
Dadra and Nagar Haveli,0,0,0,0,0,359,110,162,107
Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,72,14,46,37
Daman & Diu,0,0,0,0,0,9,3,3,6
Daman and Diu,0,0,0,0,0,29,21,36,27
Delhi,368,5930,5581,8161,18784,18806,10014,14788,10406
Goa,0,0,0,0,42,872,424,643,299
Gujarat,1322,27846,14294,12224,60833,60564,20508,47063,30388
Haryana,200,2328,3696,7641,6752,22701,15918,21537,14312
Himachal Pradesh,0,0,0,0,114,4753,3976,5137,2929
Jammu & Kashmir,0,0,0,0,0,45,32,40,29
Jammu And Kashmir,0,0,0,0,950,0,0,0,0
Jammu and Kashmir,0,211,268,0,0,11823,10199,12623,11418
Jharkhand,55,3706,0,3324,11233,45365,25033,41418,23478
Karnataka,732,9586,5491,11685,15263,58373,34992,44906,38590
Kerala,0,0,380,186,474,19499,16603,22685,14123
Ladakh,0,0,0,0,0,175,111,173,158
Lakshadweep,0,0,0,0,0,64,40,64,31
Madhya Pradesh,542,17351,10603,18154,63188,132517,61174,102776,81587
Maharashtra,460,10591,9849,10649,54767,102341,49510,71063,54216
Manipur,0,632,291,603,1626,3385,2434,2758,1470
Meghalaya,1550,30512,17380,13561,23909,9539,4758,5897,2133
Mizoram,0,368,737,311,875,1218,903,926,436
Nagaland,0,3506,666,739,4169,2734,1860,1439,316
ODISHA,0,0,0,0,0,1,0,0,0
Odisha,0,276,0,0,529,51626,22841,22058,19069
Orissa,0,0,0,0,0,1693,836,840,685
Pondicherry,0,0,0,0,0,516,236,376,132
Puducherry,0,0,0,0,0,604,332,497,290
Punjab,180,5753,3767,2742,8511,21567,10203,14693,8357
Rajasthan,94,16842,2961,6616,28786,123584,42318,71099,48291
Sikkim,0,176,0,0,431,737,318,402,111
Tamil Nadu,34,499,420,1931,972,76208,39893,60903,34850
Telangana,0,634,911,1516,8581,43082,29171,29244,15809
The Dadra And Nagar Haveli And Daman And Diu,0,0,0,249,467,0,0,0,0
Tripura,0,286,0,167,665,3121,1753,2939,2077
Uttar Pradesh,5393,57903,49861,48753,157866,261079,128995,178377,114404
Uttarakhand,311,1276,624,294,2363,10956,6707,8561,5864
WEST BENGAL,0,0,0,0,0,1,0,3,0
WESTBENGAL,0,0,0,0,0,0,0,1,0
West  Bengal,0,0,0,0,0,12,0,2,1
West Bangal,0,0,0,0,0,4,3,1,2
West Bengal,121,4268,9582,7271,28544,119636,73245,78929,47610
West bengal,0,0,0,0,0,2,0,3,2
Westbengal,0,0,0,0,0,2,2,1,1
andhra pradesh,0,0,0,0,0,2,2,0,1
